number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,50678.0,2026-02-21 20:20:28.999725,2026-02-21 20:22:22.282166,0 days 00:01:53.282441,0.9541382068280344,0.01815442688903883,5,169,722,170,0.7750530571438741,0.39648070843692373,0.8556383959646923,COMPLETE
1,50517.0,2026-02-21 20:22:22.282672,2026-02-21 20:24:17.910188,0 days 00:01:55.627516,0.7414927894114739,0.027717516812160472,2,28,2458,109,0.6480725750595968,0.11562444289699769,0.7512660152734021,COMPLETE
2,51429.666666666664,2026-02-21 20:24:17.910188,2026-02-21 20:27:06.987001,0 days 00:02:49.076813,0.9787363239633744,0.0415370296496482,7,149,1623,82,0.2533618003249243,2.503253476099994,0.8358901929120853,COMPLETE
3,54016.333333333336,2026-02-21 20:27:06.987001,2026-02-21 20:30:11.738070,0 days 00:03:04.751069,0.7857355255804078,0.07859381870037936,7,33,1775,145,1.461251397860666,3.125804965471244,0.8073134411176375,COMPLETE
4,51714.333333333336,2026-02-21 20:30:11.741070,2026-02-21 20:33:38.510094,0 days 00:03:26.769024,0.8469716105278129,0.05274948241306816,0,181,1302,112,0.5331789294302824,1.3623096142807933,0.8046464231420615,COMPLETE
5,51010.0,2026-02-21 20:33:38.510094,2026-02-21 20:36:42.786281,0 days 00:03:04.276187,0.9730365243505041,0.03164315451951274,-1,83,1814,42,1.248787770376561,0.7927901034615631,0.9649055608493354,COMPLETE
6,50514.0,2026-02-21 20:36:42.786281,2026-02-21 20:38:20.894404,0 days 00:01:38.108123,0.6320600913791691,0.07412111443313144,5,139,813,220,0.9046741139531538,2.5318117067833077,0.7291379826300827,COMPLETE
7,53577.666666666664,2026-02-21 20:38:20.895403,2026-02-21 20:42:38.445145,0 days 00:04:17.549742,0.6672424820032513,0.06925680888782831,9,30,2126,121,1.6081437117489865,2.877946585229967,0.6711459363289565,COMPLETE
8,51385.0,2026-02-21 20:42:38.446145,2026-02-21 20:44:19.890498,0 days 00:01:41.444353,0.6500869430546411,0.04551886423465852,1,120,2328,204,1.3154692893134994,0.21162933652697613,0.8784778546619223,COMPLETE
9,50470.666666666664,2026-02-21 20:44:19.890498,2026-02-21 20:46:18.611002,0 days 00:01:58.720504,0.9005074287965014,0.02285471822344264,6,117,781,59,1.2332763992778617,4.120486736133096,0.6093786951987209,COMPLETE
