         332572 function calls (328290 primitive calls) in 0.382 seconds

   Ordered by: cumulative time
   List reduced from 519 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.382    0.382 scripts\profile_inference.py:30(run_inference)
       20    0.001    0.000    0.379    0.019 .venv\Lib\site-packages\sklearn\pipeline.py:815(predict_proba)
       40    0.000    0.000    0.260    0.007 .venv\Lib\site-packages\sklearn\utils\_set_output.py:314(wrapped)
       40    0.001    0.000    0.234    0.006 .venv\Lib\site-packages\sklearn\utils\validation.py:2793(validate_data)
       20    0.014    0.001    0.212    0.011 .venv\Lib\site-packages\sklearn\impute\_base.py:595(transform)
       20    0.000    0.000    0.186    0.009 .venv\Lib\site-packages\sklearn\impute\_base.py:330(_validate_input)
       40    0.025    0.001    0.178    0.004 .venv\Lib\site-packages\sklearn\utils\validation.py:725(check_array)
       20    0.001    0.000    0.115    0.006 .venv\Lib\site-packages\lightgbm\sklearn.py:1615(predict_proba)
       20    0.001    0.000    0.113    0.006 .venv\Lib\site-packages\lightgbm\sklearn.py:1093(predict)
       40    0.000    0.000    0.070    0.002 .venv\Lib\site-packages\pandas\core\generic.py:2152(__array__)
       40    0.000    0.000    0.070    0.002 .venv\Lib\site-packages\pandas\core\frame.py:1115(_values)
       40    0.000    0.000    0.070    0.002 .venv\Lib\site-packages\pandas\core\frame.py:12617(values)
       40    0.000    0.000    0.070    0.002 .venv\Lib\site-packages\pandas\core\internals\managers.py:1652(as_array)
       40    0.027    0.001    0.069    0.002 .venv\Lib\site-packages\pandas\core\internals\managers.py:1726(_interleave)
       40    0.001    0.000    0.056    0.001 .venv\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
       40    0.001    0.000    0.053    0.001 .venv\Lib\site-packages\sklearn\utils\validation.py:2633(_check_feature_names)
       20    0.000    0.000    0.047    0.002 src\credexp\modeling\preprocess.py:14(transform)
       20    0.001    0.000    0.047    0.002 .venv\Lib\site-packages\pandas\core\generic.py:7910(replace)
       20    0.000    0.000    0.045    0.002 .venv\Lib\site-packages\pandas\core\internals\base.py:267(replace_list)
       80    0.002    0.000    0.043    0.001 .venv\Lib\site-packages\pandas\core\internals\blocks.py:1076(replace_list)


